cohort_year,cohort,agency_name,average_nibrs_contribution_percentage
2015,2015Q1,BREWSTER CO SO,90.48
2015,2015Q3,EDCOUCH PD,39.29
2015,2015Q3,LA VILLA PD,40.48
2016,2016Q4,ROMA PD,100.0
2016,2016Q4,SAN JUAN PD,100.0
2017,2017Q2,DONNA PD,100.0
2017,2017Q4,LOS FRESNOS PD,98.81
2018,2018Q1,BROWNSVILLE PD,100.0
2018,2018Q1,HARLINGEN PD,100.0
2018,2018Q1,PALMVIEW PD,100.0
2018,2018Q1,PORT ISABEL PD,100.0
2018,2018Q1,SOUTH PADRE ISLAND PD,100.0
2018,2018Q2,HUDSPETH CO SO,83.34
2018,2018Q2,LA GRULLA PD,85.42
2018,2018Q2,LAGUNA VISTA PD,90.28
2018,2018Q2,SUL ROSS STATE UNIV PD,48.15
2018,2018Q3,ALAMO PD,100.0
2018,2018Q4,PRESIDIO CO SO,13.89
2019,2019Q1,LAREDO PD,100.0
2019,2019Q1,PENITAS PD,100.0
2019,2019Q1,RIO HONDO PD,93.33
2019,2019Q1,ROMA ISD PD,64.33
2019,2019Q3,ALTON PD,98.33
2019,2019Q3,EL PASO PD,100.0
2019,2019Q3,HIDALGO CO SO,100.0
2019,2019Q3,PORT OF BROWNSVILLE PD,45.0
2019,2019Q3,RIO GRANDE CITY PD,100.0
2019,2019Q3,SULLIVAN CITY PD,60.0
2019,2019Q3,WEBB CO SO,100.0
2019,2019Q4,COMBES PD,100.0
2019,2019Q4,EL PASO CO SO,100.0
2019,2019Q4,PALMHURST PD,100.0
2020,2020Q1,UNIV OF TX RIO GRANDE VALLEY PD,97.92
2020,2020Q1,VAL VERDE CO SO,100.0
2020,2020Q1,ZAPATA CO SO,100.0
2020,2020Q2,ALPINE PD,89.58
2020,2020Q2,UNIV OF TX: EL PASO PD,91.67
2020,2020Q3,LAREDO ISD PD,58.33
2020,2020Q3,MERCEDES PD,100.0
2020,2020Q4,ANTHONY PD,100.0
2020,2020Q4,BROWNSVILLE ISD PD,95.84
2020,2020Q4,EDINBURG CISD PD,91.67
2020,2020Q4,MCALLEN ISD PD,81.25
2020,2020Q4,RANCHO VIEJO PD,64.58
2020,2020Q4,SAN BENITO PD,100.0
2020,2020Q4,TSTC: HARLINGEN PD,33.33
2020,2020Q4,UNITED ISD PD,25.0
2021,2021Q1,CAMERON CO SO,100.0
2021,2021Q1,CLINT PD,30.55
2021,2021Q1,EAGLE PASS PD,100.0
2021,2021Q1,EDINBURG PD,100.0
2021,2021Q1,EL PASO COMM COLLEGE PD,47.22
2021,2021Q1,EL PASO ISD PD,100.0
2021,2021Q1,ELSA PD,100.0
2021,2021Q1,HIDALGO CO CONSTABLE PCT 1,11.11
2021,2021Q1,HIDALGO PD,100.0
2021,2021Q1,HORIZON CITY PD,100.0
2021,2021Q1,JEFF DAVIS CO SO,69.44
2021,2021Q1,LA FERIA PD,100.0
2021,2021Q1,LA JOYA PD,94.44
2021,2021Q1,MARFA PD,64.58
2021,2021Q1,MAVERICK CO SO,100.0
2021,2021Q1,MCALLEN PD,100.0
2021,2021Q1,PALM VALLEY PD,2.78
2021,2021Q1,PHARR PD,100.0
2021,2021Q1,PRIMERA PD,94.45
2021,2021Q1,RIO GRANDE CITY ISD PD,75.0
2021,2021Q1,SAN ELIZARIO MARSHALS OFFICE,86.11
2021,2021Q1,SOCORRO ISD PD,91.67
2021,2021Q1,SOCORRO PD,100.0
2021,2021Q1,STARR CO SO,100.0
2021,2021Q1,TERRELL CO SO,0.0
2021,2021Q1,TX A&M UNIV INTERNATIONAL PD,52.78
2021,2021Q1,WESLACO PD,100.0
2021,2021Q4,MISSION PD,100.0
2022,2022Q1,DEL RIO PD,100.0
2022,2022Q1,POINT ISABEL ISD PD,4.16
2022,2022Q1,SANTA ROSA ISD PD,33.34
2022,2022Q3,KINNEY CO SO,36.66
2023,2023Q1,PRESIDIO PD,33.33
2023,2023Q3,CAMERON CO CONSTABLE PCT 4,0.0
2023,2023Q3,HIDALGO CO CONSTABLE PCT 4,0.0
2023,2023Q3,HIDALGO CO CONSTABLE PCT. 5,0.0
2023,2023Q3,WEBB CO CONSTABLE PCT 1 (PD),0.0
2023,2023Q4,CAMERON CO CONSTABLE PCT 3,100.0
