cohort,avg_nibrs_contribution_percentage,count_of_agencies
2015Q1,91.67,7
2015Q3,79.16,14
2016Q4,100.0,14
2017Q2,100.0,7
2017Q4,100.0,7
2018Q1,40.0,35
2018Q2,0.0,28
2018Q3,0.0,7
2018Q4,0.0,7
2019Q1,25.0,28
2019Q3,0.0,49
2019Q4,0.0,21
2020Q1,0.0,21
2020Q2,0.0,14
2020Q3,0.0,14
2020Q4,0.0,56
2021Q1,3.7,189
2021Q4,0.0,7
2022Q1,0.0,21
2022Q3,0.0,7
2023Q1,0.0,7
2023Q3,0.0,28
2023Q4,0.0,7
2015Q1,91.67,7
2015Q3,75.0,14
2016Q4,100.0,14
2017Q2,100.0,7
2017Q4,100.0,7
2018Q1,100.0,35
2018Q2,85.76,28
2018Q3,100.0,7
2018Q4,33.33,7
2019Q1,25.0,28
2019Q3,0.0,49
2019Q4,0.0,21
2020Q1,0.0,21
2020Q2,0.0,14
2020Q3,0.0,14
2020Q4,0.0,56
2021Q1,3.7,189
2021Q4,100.0,7
2022Q1,0.0,21
2022Q3,0.0,7
2023Q1,0.0,7
2023Q3,0.0,28
2023Q4,0.0,7
2015Q1,91.67,7
2015Q3,16.66,14
2016Q4,100.0,14
2017Q2,100.0,7
2017Q4,100.0,7
2018Q1,100.0,35
2018Q2,85.42,28
2018Q3,100.0,7
2018Q4,33.33,7
2019Q1,95.0,28
2019Q3,89.29,49
2019Q4,100.0,21
2020Q1,0.0,21
2020Q2,0.0,14
2020Q3,0.0,14
2020Q4,0.0,56
2021Q1,7.41,189
2021Q4,0.0,7
2022Q1,0.0,21
2022Q3,0.0,7
2023Q1,0.0,7
2023Q3,0.0,28
2023Q4,0.0,7
2015Q1,100.0,7
2015Q3,0.0,14
2016Q4,100.0,14
2017Q2,100.0,7
2017Q4,100.0,7
2018Q1,100.0,35
2018Q2,72.91,28
2018Q3,100.0,7
2018Q4,0.0,7
2019Q1,79.17,28
2019Q3,79.76,49
2019Q4,100.0,21
2020Q1,100.0,21
2020Q2,87.5,14
2020Q3,75.0,14
2020Q4,66.67,56
2021Q1,22.22,189
2021Q4,0.0,7
2022Q1,0.0,21
2022Q3,0.0,7
2023Q1,0.0,7
2023Q3,0.0,28
2023Q4,0.0,7
2015Q1,100.0,7
2015Q3,0.0,14
2016Q4,100.0,14
2017Q2,100.0,7
2017Q4,100.0,7
2018Q1,100.0,35
2018Q2,72.91,28
2018Q3,100.0,7
2018Q4,8.33,7
2019Q1,83.33,28
2019Q3,80.95,49
2019Q4,100.0,21
2020Q1,97.22,21
2020Q2,87.5,14
2020Q3,75.0,14
2020Q4,71.88,56
2021Q1,75.0,189
2021Q4,100.0,7
2022Q1,0.0,21
2022Q3,0.0,7
2023Q1,0.0,7
2023Q3,0.0,28
2023Q4,0.0,7
2015Q1,58.33,7
2015Q3,25.0,14
2016Q4,100.0,14
2017Q2,100.0,7
2017Q4,91.67,7
2018Q1,100.0,35
2018Q2,64.59,28
2018Q3,100.0,7
2018Q4,8.33,7
2019Q1,93.75,28
2019Q3,89.29,49
2019Q4,100.0,21
2020Q1,100.0,21
2020Q2,100.0,14
2020Q3,87.5,14
2020Q4,79.17,56
2021Q1,81.17,189
2021Q4,100.0,7
2022Q1,50.0,21
2022Q3,40.0,7
2023Q1,0.0,7
2023Q3,0.0,28
2023Q4,0.0,7
2015Q1,100.0,7
2015Q3,83.34,14
2016Q4,100.0,14
2017Q2,100.0,7
2017Q4,100.0,7
2018Q1,100.0,35
2018Q2,79.17,28
2018Q3,100.0,7
2018Q4,0.0,7
2019Q1,95.83,28
2019Q3,91.67,49
2019Q4,100.0,21
2020Q1,100.0,21
2020Q2,87.5,14
2020Q3,79.16,14
2020Q4,78.12,56
2021Q1,78.09,189
2021Q4,100.0,7
2022Q1,41.67,21
2022Q3,33.33,7
2023Q1,33.33,7
2023Q3,0.0,28
2023Q4,100.0,7
